GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.guarderia.entity,Enrollments,426,3,78,0,12,1,63,1,24,1
demo,com.guarderia.entity,Course,413,65,86,0,5,7,61,9,18,9
demo,com.guarderia.entity,Professor.ProfessorBuilder,36,36,0,0,0,1,5,5,5,5
demo,com.guarderia.entity,Documents,326,3,56,0,10,1,48,1,20,1
demo,com.guarderia.entity,User,344,8,62,0,11,2,51,2,20,2
demo,com.guarderia.entity,Child,90,0,0,0,12,0,19,0,19,0
demo,com.guarderia.entity,Guardian.GuardianBuilder,63,0,0,0,1,0,9,0,9,0
demo,com.guarderia.entity,User.UserBuilder,82,0,2,0,1,0,11,0,10,0
demo,com.guarderia.entity,Professor,315,28,62,0,7,1,50,2,19,2
demo,com.guarderia.entity,Course.CourseBuilder,32,67,0,0,0,1,3,10,3,10
demo,com.guarderia.entity,Documents.DocumentsBuilder,73,0,0,0,1,0,10,0,10,0
demo,com.guarderia.entity,Role,164,3,30,0,3,1,26,1,11,1
demo,com.guarderia.entity,UserRole,167,0,30,0,6,0,27,0,12,0
demo,com.guarderia.entity,Guardian,300,0,54,0,10,0,46,0,19,0
demo,com.guarderia.entity,UserRolePK,3,0,0,0,1,0,1,0,1,0
demo,com.guarderia.entity,Enrollments.EnrollmentsBuilder,90,0,0,0,1,0,12,0,12,0
demo,com.guarderia.entity,Child.ChildBuilder,81,0,0,0,1,0,11,0,11,0
demo,com.guarderia.auth,JwtService,84,7,6,0,27,2,9,2,6,2
demo,com.guarderia.auth,SecurityConfig,0,131,0,0,0,32,0,6,0,6
demo,com.guarderia.auth,UserDetailImp,31,0,0,0,6,0,5,0,5,0
demo,com.guarderia.auth,JwtAuthenticatorFilter,30,6,4,0,8,1,3,1,1,1
demo,com.guarderia.auth,CustomUserDetailsService,13,6,0,0,2,1,1,1,1,1
demo,com.guarderia.service,EnrollmentService,85,15,0,0,15,1,7,1,7,1
demo,com.guarderia.service,ProfessorService,26,6,0,0,6,1,5,1,5,1
demo,com.guarderia.service,AuthenticationService,45,9,0,0,11,1,2,1,2,1
demo,com.guarderia.service,AttendantService,25,6,0,0,6,1,5,1,5,1
demo,com.guarderia.service,ChildService,25,3,0,0,6,1,5,1,5,1
demo,com.guarderia.service,CourseService,0,49,0,0,0,9,0,7,0,7
demo,com.guarderia.service,DocumentService,25,6,0,0,6,1,5,1,5,1
demo,com.guarderia.dto,AuthCredentials,121,0,22,0,3,0,20,0,9,0
demo,com.guarderia.dto,ResponseAuth,78,0,14,0,3,0,14,0,7,0
demo,com.guarderia.dto,RegisterAuth,207,0,38,0,6,0,32,0,13,0
demo,com.guarderia,ServletInitializer,12,0,0,0,2,0,2,0,2,0
demo,com.guarderia,GuarderiaAPI,8,3,0,0,3,1,1,1,1,1
demo,com.guarderia.constants,PathsApp,3,0,0,0,1,0,1,0,1,0
demo,com.guarderia.controller,EnrollmentController,75,6,6,0,15,1,10,1,7,1
demo,com.guarderia.controller,AttendantController,49,6,4,0,10,1,7,1,5,1
demo,com.guarderia.controller,ChildController,49,3,4,0,10,1,7,1,5,1
demo,com.guarderia.controller,DocumentController,49,6,4,0,10,1,7,1,5,1
demo,com.guarderia.controller,CourseController,44,6,2,0,10,1,6,1,5,1
demo,com.guarderia.controller,AuthenticationController,12,6,0,0,2,1,2,1,2,1
demo,com.guarderia.controller,ProfessorController,50,6,4,0,10,1,7,1,5,1
